Name,District,Type,Description,SchoolYear
A W BROWN-FELLOWSHIP LEADERSHIP AC,057816,I,CHARTER SCHOOL DISTRICTS,2012-13
A+ ACADEMY,057829,I,CHARTER SCHOOL DISTRICTS,2012-13
ABBOTT ISD,109901,H,RURAL,2012-13
ABERNATHY ISD,095901,H,RURAL,2012-13
ABILENE ISD,221901,C,OTHER CENTRAL CITY,2012-13
ACADEMY FOR ACADEMIC EXCELLENCE,057814,I,CHARTER SCHOOL DISTRICTS,2012-13
ACADEMY ISD,014901,G,NON-METROPOLITAN STABLE,2012-13
ACADEMY OF ACCELERATED LEARNING IN,101810,I,CHARTER SCHOOL DISTRICTS,2012-13
ACADEMY OF CAREERS AND TECHNOLOGIE,015816,I,CHARTER SCHOOL DISTRICTS,2012-13
ACADEMY OF DALLAS,057810,I,CHARTER SCHOOL DISTRICTS,2012-13
ACCELERATED INTERMEDIATE ACADEMY,101849,I,CHARTER SCHOOL DISTRICTS,2012-13
ADRIAN ISD,180903,H,RURAL,2012-13
ADVANTAGE ACADEMY,057806,I,CHARTER SCHOOL DISTRICTS,2012-13
AGUA DULCE ISD,178901,H,RURAL,2012-13
ALAMO HEIGHTS ISD,015901,B,MAJOR SUBURBAN,2012-13
ALBA-GOLDEN ISD,250906,G,NON-METROPOLITAN STABLE,2012-13
ALBANY ISD,209901,H,RURAL,2012-13
ALDINE ISD,101902,B,MAJOR SUBURBAN,2012-13
ALEDO ISD,184907,B,MAJOR SUBURBAN,2012-13
ALICE ISD,125901,E,INDEPENDENT TOWN,2012-13
ALIEF ISD,101903,B,MAJOR SUBURBAN,2012-13
ALIEF MONTESSORI COMMUNITY SCHOOL,101815,I,CHARTER SCHOOL DISTRICTS,2012-13
ALLEN ISD,043901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
ALPHA CHARTER SCHOOL,057832,I,CHARTER SCHOOL DISTRICTS,2012-13
ALPINE ISD,022901,G,NON-METROPOLITAN STABLE,2012-13
ALTO ISD,037901,H,RURAL,2012-13
ALVARADO ISD,126901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
ALVIN ISD,020901,B,MAJOR SUBURBAN,2012-13
ALVORD ISD,249901,H,RURAL,2012-13
AMARILLO ISD,188901,C,OTHER CENTRAL CITY,2012-13
AMBASSADORS PREPARATORY ACADEMY,084804,I,CHARTER SCHOOL DISTRICTS,2012-13
AMERICAN YOUTHWORKS CHARTER SCHOOL,227801,I,CHARTER SCHOOL DISTRICTS,2012-13
AMHERST ISD,140901,H,RURAL,2012-13
AMIGOS POR VIDA-FRIENDS FOR LIFE P,101819,I,CHARTER SCHOOL DISTRICTS,2012-13
ANAHUAC ISD,036901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
ANDERSON-SHIRO CISD,093901,E,INDEPENDENT TOWN,2012-13
ANDREWS ISD,002901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
ANGLETON ISD,020902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
ANNA ISD,043902,F,NON-METROPOLITAN FAST GROWING,2012-13
ANSON ISD,127901,H,RURAL,2012-13
ANTHONY ISD,071906,G,NON-METROPOLITAN STABLE,2012-13
ANTON ISD,110901,H,RURAL,2012-13
APPLE SPRINGS ISD,228905,H,RURAL,2012-13
AQUILLA ISD,109912,H,RURAL,2012-13
ARANSAS COUNTY ISD,004901,G,NON-METROPOLITAN STABLE,2012-13
ARANSAS PASS ISD,205901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
ARCHER CITY ISD,005901,H,RURAL,2012-13
ARGYLE ISD,061910,D,OTHER CENTRAL CITY SUBURBAN,2012-13
ARISTOI CLASSICAL ACADEMY,101803,I,CHARTER SCHOOL DISTRICTS,2012-13
ARLINGTON CLASSICS ACADEMY,220802,I,CHARTER SCHOOL DISTRICTS,2012-13
ARLINGTON ISD,220901,A,MAJOR URBAN,2012-13
ARP ISD,212901,G,NON-METROPOLITAN STABLE,2012-13
ARROW ACADEMY,021805,I,CHARTER SCHOOL DISTRICTS,2012-13
ASPERMONT ISD,217901,H,RURAL,2012-13
ATHENS ISD,107901,E,INDEPENDENT TOWN,2012-13
ATLANTA ISD,034901,E,INDEPENDENT TOWN,2012-13
AUBREY ISD,061907,D,OTHER CENTRAL CITY SUBURBAN,2012-13
AUSTIN ACHIEVE PUBLIC SCHOOLS,227825,I,CHARTER SCHOOL DISTRICTS,2012-13
AUSTIN CAN ACADEMY CHARTER SCHOOL,227818,I,CHARTER SCHOOL DISTRICTS,2012-13
AUSTIN DISCOVERY SCHOOL,227821,I,CHARTER SCHOOL DISTRICTS,2012-13
AUSTIN ISD,227901,A,MAJOR URBAN,2012-13
AUSTWELL-TIVOLI ISD,196901,H,RURAL,2012-13
AVALON ISD,070901,F,NON-METROPOLITAN FAST GROWING,2012-13
AVERY ISD,194902,H,RURAL,2012-13
AVINGER ISD,034902,H,RURAL,2012-13
AXTELL ISD,161918,H,RURAL,2012-13
AZLE ISD,220915,B,MAJOR SUBURBAN,2012-13
AZLEWAY CHARTER SCHOOL,212803,I,CHARTER SCHOOL DISTRICTS,2012-13
BAIRD ISD,030903,H,RURAL,2012-13
BALLINGER ISD,200901,G,NON-METROPOLITAN STABLE,2012-13
BALMORHEA ISD,195902,H,RURAL,2012-13
BANDERA ISD,010902,B,MAJOR SUBURBAN,2012-13
BANGS ISD,025901,G,NON-METROPOLITAN STABLE,2012-13
BANQUETE ISD,178913,G,NON-METROPOLITAN STABLE,2012-13
BARBERS HILL ISD,036902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BARTLETT ISD,014902,H,RURAL,2012-13
BASTROP ISD,011901,E,INDEPENDENT TOWN,2012-13
BAY AREA CHARTER INC,101809,I,CHARTER SCHOOL DISTRICTS,2012-13
BAY CITY ISD,158901,E,INDEPENDENT TOWN,2012-13
BEATRICE MAYES INSTITUTE CHARTER S,101847,I,CHARTER SCHOOL DISTRICTS,2012-13
BEAUMONT ISD,123910,C,OTHER CENTRAL CITY,2012-13
BECKVILLE ISD,183901,H,RURAL,2012-13
BEEVILLE ISD,013901,E,INDEPENDENT TOWN,2012-13
BELLEVUE ISD,039904,H,RURAL,2012-13
BELLS ISD,091901,H,RURAL,2012-13
BELLVILLE ISD,008901,E,INDEPENDENT TOWN,2012-13
BELTON ISD,014903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BEN BOLT-PALITO BLANCO ISD,125902,H,RURAL,2012-13
BENAVIDES ISD,066901,H,RURAL,2012-13
BENJAMIN ISD,138904,H,RURAL,2012-13
BEXAR COUNTY ACADEMY,015809,I,CHARTER SCHOOL DISTRICTS,2012-13
BIG SANDY ISD,187901,H,RURAL,2012-13
BIG SANDY ISD,230901,H,RURAL,2012-13
BIG SPRING ISD,114901,E,INDEPENDENT TOWN,2012-13
BIG SPRINGS CHARTER SCHOOL,193801,I,CHARTER SCHOOL DISTRICTS,2012-13
BIRDVILLE ISD,220902,B,MAJOR SUBURBAN,2012-13
BISHOP CISD,178902,G,NON-METROPOLITAN STABLE,2012-13
BLACKWELL CISD,177903,H,RURAL,2012-13
BLANCO ISD,016902,G,NON-METROPOLITAN STABLE,2012-13
BLAND ISD,116915,H,RURAL,2012-13
BLANKET ISD,025904,H,RURAL,2012-13
BLOOMBURG ISD,034909,H,RURAL,2012-13
BLOOMING GROVE ISD,175902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BLOOMINGTON ISD,235901,G,NON-METROPOLITAN STABLE,2012-13
BLUE RIDGE ISD,043917,H,RURAL,2012-13
BLUFF DALE ISD,072904,H,RURAL,2012-13
BLUM ISD,109913,H,RURAL,2012-13
BOB HOPE SCHOOL,123807,I,CHARTER SCHOOL DISTRICTS,2012-13
BOERNE ISD,130901,B,MAJOR SUBURBAN,2012-13
BOLES ISD,116916,H,RURAL,2012-13
BOLING ISD,241901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BONHAM ISD,074903,E,INDEPENDENT TOWN,2012-13
BOOKER ISD,148901,H,RURAL,2012-13
BORDEN COUNTY ISD,017901,H,RURAL,2012-13
BORGER ISD,117901,G,NON-METROPOLITAN STABLE,2012-13
BOSQUEVILLE ISD,161923,F,NON-METROPOLITAN FAST GROWING,2012-13
BOVINA ISD,185901,H,RURAL,2012-13
BOWIE ISD,169901,G,NON-METROPOLITAN STABLE,2012-13
BOYD ISD,249902,G,NON-METROPOLITAN STABLE,2012-13
BOYS RANCH ISD,180901,H,RURAL,2012-13
BRACKETT ISD,136901,H,RURAL,2012-13
BRADY ISD,160901,G,NON-METROPOLITAN STABLE,2012-13
BRAZOS ISD,008903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BRAZOS RIVER CHARTER SCHOOL,213801,I,CHARTER SCHOOL DISTRICTS,2012-13
BRAZOS SCHOOL FOR INQUIRY & CREATI,021803,I,CHARTER SCHOOL DISTRICTS,2012-13
BRAZOSPORT ISD,020905,C,OTHER CENTRAL CITY,2012-13
BRECKENRIDGE ISD,215901,G,NON-METROPOLITAN STABLE,2012-13
BREMOND ISD,198901,H,RURAL,2012-13
BRENHAM ISD,239901,E,INDEPENDENT TOWN,2012-13
BRIDGE CITY ISD,181901,G,NON-METROPOLITAN STABLE,2012-13
BRIDGEPORT ISD,249903,E,INDEPENDENT TOWN,2012-13
BRIGHT IDEAS CHARTER,243801,I,CHARTER SCHOOL DISTRICTS,2012-13
BROADDUS ISD,203902,H,RURAL,2012-13
BROCK ISD,184909,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BRONTE ISD,041901,H,RURAL,2012-13
BROOKELAND ISD,121902,H,RURAL,2012-13
BROOKESMITH ISD,025908,H,RURAL,2012-13
BROOKS ACADEMY OF SCIENCE AND ENGI,015830,I,CHARTER SCHOOL DISTRICTS,2012-13
BROOKS COUNTY ISD,024901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BROWNFIELD ISD,223901,G,NON-METROPOLITAN STABLE,2012-13
BROWNSBORO ISD,107902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BROWNSVILLE ISD,031901,C,OTHER CENTRAL CITY,2012-13
BROWNWOOD ISD,025902,E,INDEPENDENT TOWN,2012-13
BRUCEVILLE-EDDY ISD,161919,H,RURAL,2012-13
BRYAN ISD,021902,C,OTHER CENTRAL CITY,2012-13
BRYSON ISD,119901,H,RURAL,2012-13
BUCKHOLTS ISD,166907,H,RURAL,2012-13
BUENA VISTA ISD,186901,H,RURAL,2012-13
BUFFALO ISD,145901,G,NON-METROPOLITAN STABLE,2012-13
BULLARD ISD,212902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BUNA ISD,121903,G,NON-METROPOLITAN STABLE,2012-13
BURKBURNETT ISD,243901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BURKEVILLE ISD,176901,H,RURAL,2012-13
BURLESON ISD,126902,C,OTHER CENTRAL CITY,2012-13
BURNET CISD,027903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BURNHAM WOOD CHARTER SCHOOL DISTRI,071801,I,CHARTER SCHOOL DISTRICTS,2012-13
BURTON ISD,239903,F,NON-METROPOLITAN FAST GROWING,2012-13
BUSHLAND ISD,188904,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BYNUM ISD,109902,H,RURAL,2012-13
CADDO MILLS ISD,116901,G,NON-METROPOLITAN STABLE,2012-13
CALALLEN ISD,178903,G,NON-METROPOLITAN STABLE,2012-13
CALDWELL ISD,026901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
CALHOUN COUNTY ISD,029901,G,NON-METROPOLITAN STABLE,2012-13
CALLISBURG ISD,049905,G,NON-METROPOLITAN STABLE,2012-13
CALVERT ISD,198902,H,RURAL,2012-13
CALVIN NELMS CHARTER SCHOOLS,101837,I,CHARTER SCHOOL DISTRICTS,2012-13
CAMERON ISD,166901,E,INDEPENDENT TOWN,2012-13
CAMPBELL ISD,116910,H,RURAL,2012-13
CANADIAN ISD,106901,F,NON-METROPOLITAN FAST GROWING,2012-13
CANTON ISD,234902,E,INDEPENDENT TOWN,2012-13
CANUTILLO ISD,071907,B,MAJOR SUBURBAN,2012-13
CANYON ISD,191901,C,OTHER CENTRAL CITY,2012-13
CARLISLE ISD,201913,H,RURAL,2012-13
CARRIZO SPRINGS CISD,064903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
CARROLL ISD,220919,B,MAJOR SUBURBAN,2012-13
CARROLLTON-FARMERS BRANCH ISD,057903,B,MAJOR SUBURBAN,2012-13
CARTHAGE ISD,183902,G,NON-METROPOLITAN STABLE,2012-13
CASTLEBERRY ISD,220917,B,MAJOR SUBURBAN,2012-13
CAYUGA ISD,001902,H,RURAL,2012-13
CEDAR HILL ISD,057904,B,MAJOR SUBURBAN,2012-13
CEDARS INTERNATIONAL ACADEMY,227817,I,CHARTER SCHOOL DISTRICTS,2012-13
CELESTE ISD,116902,H,RURAL,2012-13
CELINA ISD,043903,G,NON-METROPOLITAN STABLE,2012-13
CENTER ISD,210901,E,INDEPENDENT TOWN,2012-13
CENTER POINT ISD,133901,H,RURAL,2012-13
CENTERVILLE ISD,145902,H,RURAL,2012-13
CENTERVILLE ISD,228904,H,RURAL,2012-13
CENTRAL HEIGHTS ISD,174908,F,NON-METROPOLITAN FAST GROWING,2012-13
CENTRAL ISD,003907,G,NON-METROPOLITAN STABLE,2012-13
CHANNELVIEW ISD,101905,B,MAJOR SUBURBAN,2012-13
CHANNING ISD,103901,H,RURAL,2012-13
CHAPARRAL STAR ACADEMY,227814,I,CHARTER SCHOOL DISTRICTS,2012-13
CHAPEL HILL ACADEMY,220815,I,CHARTER SCHOOL DISTRICTS,2012-13
CHAPEL HILL ISD,212909,D,OTHER CENTRAL CITY SUBURBAN,2012-13
CHAPEL HILL ISD,225906,G,NON-METROPOLITAN STABLE,2012-13
CHARLOTTE ISD,007901,H,RURAL,2012-13
CHEROKEE ISD,206903,H,RURAL,2012-13
CHESTER ISD,229906,H,RURAL,2012-13
CHICO ISD,249904,H,RURAL,2012-13
CHILDREN FIRST ACADEMY OF DALLAS,057811,I,CHARTER SCHOOL DISTRICTS,2012-13
CHILDRESS ISD,038901,G,NON-METROPOLITAN STABLE,2012-13
CHILLICOTHE ISD,099902,H,RURAL,2012-13
CHILTON ISD,073901,F,NON-METROPOLITAN FAST GROWING,2012-13
CHINA SPRING ISD,161920,D,OTHER CENTRAL CITY SUBURBAN,2012-13
CHIRENO ISD,174901,F,NON-METROPOLITAN FAST GROWING,2012-13
CHISUM ISD,139905,G,NON-METROPOLITAN STABLE,2012-13
CHRISTOVAL ISD,226901,H,RURAL,2012-13
CISCO ISD,067902,G,NON-METROPOLITAN STABLE,2012-13
CITY CENTER HEALTH CAREERS,015832,I,CHARTER SCHOOL DISTRICTS,2012-13
CITY VIEW ISD,243906,D,OTHER CENTRAL CITY SUBURBAN,2012-13
CLARENDON ISD,065901,H,RURAL,2012-13
CLARKSVILLE ISD,194904,H,RURAL,2012-13
CLAUDE ISD,006902,H,RURAL,2012-13
CLEAR CREEK ISD,084910,B,MAJOR SUBURBAN,2012-13
CLEBURNE ISD,126903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
CLEVELAND ISD,146901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
CLIFTON ISD,018901,G,NON-METROPOLITAN STABLE,2012-13
CLINT ISD,071901,B,MAJOR SUBURBAN,2012-13
CLYDE CISD,030902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
COAHOMA ISD,114902,G,NON-METROPOLITAN STABLE,2012-13
COLDSPRING-OAKHURST CISD,204901,E,INDEPENDENT TOWN,2012-13
COLEMAN ISD,042901,G,NON-METROPOLITAN STABLE,2012-13
COLLEGE STATION ISD,021901,C,OTHER CENTRAL CITY,2012-13
COLLINSVILLE ISD,091902,H,RURAL,2012-13
COLMESNEIL ISD,229901,H,RURAL,2012-13
COLORADO ISD,168901,G,NON-METROPOLITAN STABLE,2012-13
COLUMBIA-BRAZORIA ISD,020907,D,OTHER CENTRAL CITY SUBURBAN,2012-13
COLUMBUS ISD,045902,G,NON-METROPOLITAN STABLE,2012-13
COMAL ISD,046902,B,MAJOR SUBURBAN,2012-13
COMANCHE ISD,047901,G,NON-METROPOLITAN STABLE,2012-13
COMFORT ISD,130902,E,INDEPENDENT TOWN,2012-13
COMMERCE ISD,116903,G,NON-METROPOLITAN STABLE,2012-13
COMMUNITY ISD,043918,G,NON-METROPOLITAN STABLE,2012-13
COMO-PICKTON CISD,112908,H,RURAL,2012-13
COMPASS ACADEMY CHARTER SCHOOL,068802,I,CHARTER SCHOOL DISTRICTS,2012-13
COMQUEST ACADEMY,101842,I,CHARTER SCHOOL DISTRICTS,2012-13
COMSTOCK ISD,233903,H,RURAL,2012-13
CONNALLY ISD,161921,D,OTHER CENTRAL CITY SUBURBAN,2012-13
CONROE ISD,170902,C,OTHER CENTRAL CITY,2012-13
COOLIDGE ISD,147901,H,RURAL,2012-13
COOPER ISD,060902,H,RURAL,2012-13
COPPELL ISD,057922,B,MAJOR SUBURBAN,2012-13
COPPERAS COVE ISD,050910,D,OTHER CENTRAL CITY SUBURBAN,2012-13
CORPUS CHRISTI ISD,178904,C,OTHER CENTRAL CITY,2012-13
CORPUS CHRISTI MONTESSORI SCHOOL,178807,I,CHARTER SCHOOL DISTRICTS,2012-13
CORRIGAN-CAMDEN ISD,187904,G,NON-METROPOLITAN STABLE,2012-13
CORSICANA ISD,175903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
COTTON CENTER ISD,095902,H,RURAL,2012-13
COTULLA ISD,142901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
COUPLAND ISD,246914,H,RURAL,2012-13
COVINGTON ISD,109903,H,RURAL,2012-13
CRANDALL ISD,129901,B,MAJOR SUBURBAN,2012-13
CRANE ISD,052901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
CRANFILLS GAP ISD,018908,H,RURAL,2012-13
CRAWFORD ISD,161901,H,RURAL,2012-13
CROCKETT COUNTY CONSOLIDATED CSD,053001,H,RURAL,2012-13
CROCKETT ISD,113901,G,NON-METROPOLITAN STABLE,2012-13
CROSBY ISD,101906,B,MAJOR SUBURBAN,2012-13
CROSBYTON CISD,054901,H,RURAL,2012-13
CROSS PLAINS ISD,030901,H,RURAL,2012-13
CROSS ROADS ISD,107904,H,RURAL,2012-13
CROSSTIMBERS ACADEMY,184801,I,CHARTER SCHOOL DISTRICTS,2012-13
CROWELL ISD,078901,H,RURAL,2012-13
CROWLEY ISD,220912,B,MAJOR SUBURBAN,2012-13
CRYSTAL CITY ISD,254901,G,NON-METROPOLITAN STABLE,2012-13
CUERO ISD,062901,G,NON-METROPOLITAN STABLE,2012-13
CULBERSON COUNTY-ALLAMOORE ISD,055901,H,RURAL,2012-13
CUMBERLAND ACADEMY,212801,I,CHARTER SCHOOL DISTRICTS,2012-13
CUMBY ISD,112905,H,RURAL,2012-13
CUSHING ISD,174902,H,RURAL,2012-13
CYPRESS-FAIRBANKS ISD,101907,B,MAJOR SUBURBAN,2012-13
D'HANIS ISD,163902,H,RURAL,2012-13
DAINGERFIELD-LONE STAR ISD,172902,G,NON-METROPOLITAN STABLE,2012-13
DALHART ISD,056901,G,NON-METROPOLITAN STABLE,2012-13
DALLAS CAN ACADEMY CHARTER,057804,I,CHARTER SCHOOL DISTRICTS,2012-13
DALLAS COMMUNITY CHARTER SCHOOL,057805,I,CHARTER SCHOOL DISTRICTS,2012-13
DALLAS ISD,057905,A,MAJOR URBAN,2012-13
DAMON ISD,020910,H,RURAL,2012-13
DANBURY ISD,020904,H,RURAL,2012-13
DARROUZETT ISD,148905,H,RURAL,2012-13
DAWSON ISD,058902,H,RURAL,2012-13
DAWSON ISD,175904,H,RURAL,2012-13
DAYTON ISD,146902,E,INDEPENDENT TOWN,2012-13
DE LEON ISD,047902,H,RURAL,2012-13
DECATUR ISD,249905,E,INDEPENDENT TOWN,2012-13
DEER PARK ISD,101908,B,MAJOR SUBURBAN,2012-13
DEKALB ISD,019901,H,RURAL,2012-13
DEL VALLE ISD,227910,B,MAJOR SUBURBAN,2012-13
DELL CITY ISD,115903,H,RURAL,2012-13
DENISON ISD,091903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
DENTON ISD,061901,C,OTHER CENTRAL CITY,2012-13
DENVER CITY ISD,251901,G,NON-METROPOLITAN STABLE,2012-13
DESOTO ISD,057906,B,MAJOR SUBURBAN,2012-13
DETROIT ISD,194905,H,RURAL,2012-13
DEVERS ISD,146903,H,RURAL,2012-13
DEVINE ISD,163901,G,NON-METROPOLITAN STABLE,2012-13
DEW ISD,081906,H,RURAL,2012-13
DEWEYVILLE ISD,176903,H,RURAL,2012-13
DIBOLL ISD,003905,G,NON-METROPOLITAN STABLE,2012-13
DICKINSON ISD,084901,C,OTHER CENTRAL CITY,2012-13
DILLEY ISD,082902,G,NON-METROPOLITAN STABLE,2012-13
DIME BOX ISD,144903,H,RURAL,2012-13
DIMMITT ISD,035901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
DIVIDE ISD,133905,H,RURAL,2012-13
DODD CITY ISD,074904,H,RURAL,2012-13
DONNA ISD,108902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
DOSS CONSOLIDATED CSD,086024,H,RURAL,2012-13
DOUGLASS ISD,174911,H,RURAL,2012-13
DR M L GARZA-GONZALEZ CHARTER SCHO,178801,I,CHARTER SCHOOL DISTRICTS,2012-13
DRAW ACADEMY,101856,I,CHARTER SCHOOL DISTRICTS,2012-13
DRIPPING SPRINGS ISD,105904,B,MAJOR SUBURBAN,2012-13
DRISCOLL ISD,178905,H,RURAL,2012-13
DUBLIN ISD,072902,G,NON-METROPOLITAN STABLE,2012-13
DUMAS ISD,171901,G,NON-METROPOLITAN STABLE,2012-13
DUNCANVILLE ISD,057907,B,MAJOR SUBURBAN,2012-13
EAGLE MT-SAGINAW ISD,220918,B,MAJOR SUBURBAN,2012-13
EAGLE PASS ISD,159901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
EANES ISD,227909,B,MAJOR SUBURBAN,2012-13
EARLY ISD,025909,G,NON-METROPOLITAN STABLE,2012-13
EAST BERNARD ISD,241902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
EAST CENTRAL ISD,015911,B,MAJOR SUBURBAN,2012-13
EAST CHAMBERS ISD,036903,E,INDEPENDENT TOWN,2012-13
EAST FORT WORTH MONTESSORI ACADEMY,220811,I,CHARTER SCHOOL DISTRICTS,2012-13
EAST TEXAS CHARTER SCHOOLS,092801,I,CHARTER SCHOOL DISTRICTS,2012-13
EASTLAND ISD,067903,G,NON-METROPOLITAN STABLE,2012-13
ECTOR COUNTY ISD,068901,C,OTHER CENTRAL CITY,2012-13
ECTOR ISD,074905,H,RURAL,2012-13
EDCOUCH-ELSA ISD,108903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
EDEN CISD,048901,H,RURAL,2012-13
EDEN PARK ACADEMY,227803,I,CHARTER SCHOOL DISTRICTS,2012-13
EDGEWOOD ISD,015905,B,MAJOR SUBURBAN,2012-13
EDGEWOOD ISD,234903,G,NON-METROPOLITAN STABLE,2012-13
EDINBURG CISD,108904,C,OTHER CENTRAL CITY,2012-13
EDNA ISD,120901,G,NON-METROPOLITAN STABLE,2012-13
EDUCATION CENTER INTERNATIONAL ACA,057833,I,CHARTER SCHOOL DISTRICTS,2012-13
EHRHART SCHOOL,123805,I,CHARTER SCHOOL DISTRICTS,2012-13
EL CAMPO ISD,241903,E,INDEPENDENT TOWN,2012-13
EL PASO ACADEMY,071804,I,CHARTER SCHOOL DISTRICTS,2012-13
EL PASO ISD,071902,A,MAJOR URBAN,2012-13
ELECTRA ISD,243902,H,RURAL,2012-13
ELGIN ISD,011902,G,NON-METROPOLITAN STABLE,2012-13
ELKHART ISD,001903,G,NON-METROPOLITAN STABLE,2012-13
ELYSIAN FIELDS ISD,102906,G,NON-METROPOLITAN STABLE,2012-13
ENNIS ISD,070903,C,OTHER CENTRAL CITY,2012-13
ERA ISD,049906,H,RURAL,2012-13
ERATH EXCELS ACADEMY INC,072802,I,CHARTER SCHOOL DISTRICTS,2012-13
ETOILE ISD,174910,H,RURAL,2012-13
EULA ISD,030906,H,RURAL,2012-13
EUSTACE ISD,107905,G,NON-METROPOLITAN STABLE,2012-13
EVADALE ISD,121906,H,RURAL,2012-13
EVANT ISD,050901,E,INDEPENDENT TOWN,2012-13
EVERMAN ISD,220904,B,MAJOR SUBURBAN,2012-13
EVOLUTION ACADEMY CHARTER SCHOOL,057834,I,CHARTER SCHOOL DISTRICTS,2012-13
EXCEL ACADEMY,101811,I,CHARTER SCHOOL DISTRICTS,2012-13
EXCELLENCE IN LEADERSHIP ACADEMY,108809,I,CHARTER SCHOOL DISTRICTS,2012-13
EXCELSIOR ISD,210906,H,RURAL,2012-13
EZZELL ISD,143906,H,RURAL,2012-13
FABENS ISD,071903,G,NON-METROPOLITAN STABLE,2012-13
FAIRFIELD ISD,081902,G,NON-METROPOLITAN STABLE,2012-13
FAITH FAMILY ACADEMY OF OAK CLIFF,057815,I,CHARTER SCHOOL DISTRICTS,2012-13
FALLBROOK COLLEGE PREPARATORY ACAD,101867,I,CHARTER SCHOOL DISTRICTS,2012-13
FALLS CITY ISD,128904,H,RURAL,2012-13
FANNINDEL ISD,060914,H,RURAL,2012-13
FARMERSVILLE ISD,043904,G,NON-METROPOLITAN STABLE,2012-13
FARWELL ISD,185902,H,RURAL,2012-13
FAYETTEVILLE ISD,075906,H,RURAL,2012-13
FERRIS ISD,070905,B,MAJOR SUBURBAN,2012-13
FLATONIA ISD,075901,H,RURAL,2012-13
FLORENCE ISD,246902,G,NON-METROPOLITAN STABLE,2012-13
FLORESVILLE ISD,247901,E,INDEPENDENT TOWN,2012-13
FLOUR BLUFF ISD,178914,D,OTHER CENTRAL CITY SUBURBAN,2012-13
FLOYDADA ISD,077901,H,RURAL,2012-13
FOCUS LEARNING ACADEMY,057817,I,CHARTER SCHOOL DISTRICTS,2012-13
FOLLETT ISD,148902,H,RURAL,2012-13
FORESTBURG ISD,169910,H,RURAL,2012-13
FORNEY ISD,129902,B,MAJOR SUBURBAN,2012-13
FORSAN ISD,114904,H,RURAL,2012-13
FORT BEND ISD,079907,B,MAJOR SUBURBAN,2012-13
FORT ELLIOTT CISD,242906,H,RURAL,2012-13
FORT STOCKTON ISD,186902,G,NON-METROPOLITAN STABLE,2012-13
FORT WORTH ACADEMY OF FINE ARTS,220809,I,CHARTER SCHOOL DISTRICTS,2012-13
FORT WORTH CAN ACADEMY,220804,I,CHARTER SCHOOL DISTRICTS,2012-13
FORT WORTH ISD,220905,A,MAJOR URBAN,2012-13
FRANKLIN ISD,198903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
FRANKSTON ISD,001904,H,RURAL,2012-13
FREDERICKSBURG ISD,086901,E,INDEPENDENT TOWN,2012-13
FREER ISD,066903,H,RURAL,2012-13
FRENSHIP ISD,152907,D,OTHER CENTRAL CITY SUBURBAN,2012-13
FRIENDSWOOD ISD,084911,D,OTHER CENTRAL CITY SUBURBAN,2012-13
FRIONA ISD,185903,G,NON-METROPOLITAN STABLE,2012-13
FRISCO ISD,043905,C,OTHER CENTRAL CITY,2012-13
FROST ISD,175905,H,RURAL,2012-13
FRUITVALE ISD,234909,H,RURAL,2012-13
FT DAVIS ISD,122901,H,RURAL,2012-13
FT HANCOCK ISD,115901,H,RURAL,2012-13
FT SAM HOUSTON ISD,015914,G,NON-METROPOLITAN STABLE,2012-13
GAINESVILLE ISD,049901,E,INDEPENDENT TOWN,2012-13
GALENA PARK ISD,101910,B,MAJOR SUBURBAN,2012-13
GALVESTON ISD,084902,C,OTHER CENTRAL CITY,2012-13
GANADO ISD,120902,H,RURAL,2012-13
