CountyName,POWPUMA,POWPUMAType,Weight
Montgomery,4500,POWPUMA12,455746
Moore,100,POWPUMA12,21904
Morris,1000,POWPUMA12,12934
Motley,400,POWPUMA12,1210
Nacogdoches,4000,POWPUMA12,64524
Navarro,3700,POWPUMA12,47735
Newton,4100,POWPUMA12,14445
Nolan,2600,POWPUMA12,15216
Nueces,6600,POWPUMA12,340223
Ochiltree,100,POWPUMA12,10223
Oldham,100,POWPUMA12,2052
Orange,4200,POWPUMA12,81837
Palo Pinto,2200,POWPUMA12,28111
Panola,1700,POWPUMA12,23796
Parker,2400,POWPUMA12,116927
Parmer,100,POWPUMA12,10269
Pecos,3200,POWPUMA12,15507
Polk,3900,POWPUMA12,45413
Potter,200,POWPUMA12,121073
Presidio,3200,POWPUMA12,7818
Rains,1300,POWPUMA12,10914
Randall,300,POWPUMA12,120725
Reagan,2800,POWPUMA12,3367
Real,6200,POWPUMA12,3309
Red River,1000,POWPUMA12,12860
Reeves,3200,POWPUMA12,13783
Refugio,6500,POWPUMA12,7383
Roberts,100,POWPUMA12,929
Robertson,3601,POWPUMA12,16622
Rockwall,900,POWPUMA12,78337
Runnels,2600,POWPUMA12,10501
Rusk,1700,POWPUMA12,53330
Sabine,4100,POWPUMA12,10834
San Augustine,4100,POWPUMA12,8865
San Jacinto,3900,POWPUMA12,26384
San Patricio,6500,POWPUMA12,64804
San Saba,3400,POWPUMA12,6131
Schleicher,2800,POWPUMA12,3461
Scurry,2600,POWPUMA12,16921
Shackelford,2600,POWPUMA12,3378
Shelby,4100,POWPUMA12,25448
Sherman,100,POWPUMA12,3034
Smith,1500,POWPUMA12,209714
Somervell,2200,POWPUMA12,8490
Starr,6400,POWPUMA12,60968
Stephens,2600,POWPUMA12,9630
Sterling,2800,POWPUMA12,1143
Stonewall,2600,POWPUMA12,1490
Sutton,2800,POWPUMA12,4128
Swisher,100,POWPUMA12,7854
Tarrant,2500,POWPUMA12,1809034
Taylor,2700,POWPUMA12,131506
Terrell,3200,POWPUMA12,984
Terry,400,POWPUMA12,12651
Throckmorton,2600,POWPUMA12,1641
Titus,1000,POWPUMA12,32334
Tom Green,2900,POWPUMA12,110224
Travis,5300,POWPUMA12,1024266
Trinity,3900,POWPUMA12,14585
Tyler,4100,POWPUMA12,21766
Upshur,1200,POWPUMA12,39309
Upton,2800,POWPUMA12,3355
Uvalde,6200,POWPUMA12,26405
Val Verde,6200,POWPUMA12,48879
Van Zandt,1300,POWPUMA12,52579
Victoria,5600,POWPUMA12,86793
Walker,3900,POWPUMA12,67861
Waller,5000,POWPUMA12,43205
Ward,3200,POWPUMA12,10658
Washington,3601,POWPUMA12,33718
Webb,6300,POWPUMA12,250304
Wharton,5000,POWPUMA12,41280
Wheeler,100,POWPUMA12,5410
Wichita,700,POWPUMA12,131500
Wilbarger,600,POWPUMA12,13535
Willacy,6900,POWPUMA12,22134
Williamson,5200,POWPUMA12,422679
Wilson,5500,POWPUMA12,42918
Winkler,3200,POWPUMA12,7110
Wise,600,POWPUMA12,59127
Wood,1300,POWPUMA12,41964
Yoakum,400,POWPUMA12,7879
Young,600,POWPUMA12,18550
Zapata,6400,POWPUMA12,14018
Zavala,6200,POWPUMA12,11677
Anderson,1800,POWPUMA2K,58458
Andrews,3400,POWPUMA2K,14786
Angelina,1700,POWPUMA2K,86771
Aransas,6100,POWPUMA2K,23158
Archer,600,POWPUMA2K,9054
Armstrong,100,POWPUMA2K,1901
Atascosa,5700,POWPUMA2K,44911
Austin,3900,POWPUMA2K,28417
Bailey,400,POWPUMA2K,7165
Bandera,5800,POWPUMA2K,20485
Bastrop,5100,POWPUMA2K,74171
Baylor,600,POWPUMA2K,3726
Bee,6100,POWPUMA2K,31861
Bell,3700,POWPUMA2K,310235
Bexar,5600,POWPUMA2K,1714773
Blanco,3600,POWPUMA2K,10497
Borden,3100,POWPUMA2K,641
Bosque,2700,POWPUMA2K,18212
Bowie,1100,POWPUMA2K,92565
Brazoria,4800,POWPUMA2K,313166
Brazos,4000,POWPUMA2K,194851
Brewster,3400,POWPUMA2K,9232
Briscoe,100,POWPUMA2K,1637
Brooks,6500,POWPUMA2K,7223
Brown,3600,POWPUMA2K,38106
Burleson,3900,POWPUMA2K,17187
Burnet,3600,POWPUMA2K,42750
Caldwell,5100,POWPUMA2K,38066
Calhoun,6200,POWPUMA2K,21381
Callahan,2700,POWPUMA2K,13544
Cameron,6800,POWPUMA2K,170626
Cameron,6900,POWPUMA2K,235594
Camp,1200,POWPUMA2K,12401
Carson,100,POWPUMA2K,6182
Cass,1100,POWPUMA2K,30464
Castro,100,POWPUMA2K,8062
Chambers,4500,POWPUMA2K,35096
Cherokee,1500,POWPUMA2K,50845
Childress,100,POWPUMA2K,7041
Clay,600,POWPUMA2K,10752
Cochran,400,POWPUMA2K,3127
Coke,3000,POWPUMA2K,3320
Coleman,3600,POWPUMA2K,8895
Collin,2100,POWPUMA2K,782341
Collingsworth,100,POWPUMA2K,3057
Colorado,5000,POWPUMA2K,20874
Comal,5500,POWPUMA2K,108472
Comanche,2700,POWPUMA2K,13974
Concho,3100,POWPUMA2K,4087
Cooke,600,POWPUMA2K,2
Cooke,800,POWPUMA2K,38435
Coryell,3700,POWPUMA2K,75388
Cottle,600,POWPUMA2K,1505
Crane,3400,POWPUMA2K,4375
Crockett,3100,POWPUMA2K,3719
Crosby,400,POWPUMA2K,6059
Culberson,3400,POWPUMA2K,2398
Dallam,100,POWPUMA2K,6703
Dallas,2300,POWPUMA2K,2368139
Dawson,3100,POWPUMA2K,13833
Deaf Smith,100,POWPUMA2K,19372
Delta,1000,POWPUMA2K,5231
Denton,2200,POWPUMA2K,662614
De Witt,5700,POWPUMA2K,20097
Dickens,400,POWPUMA2K,2444
Dimmit,5900,POWPUMA2K,9996
Donley,100,POWPUMA2K,3677
Duval,6100,POWPUMA2K,11782
Eastland,2700,POWPUMA2K,18583
Ector,3300,POWPUMA2K,137130
Edwards,5900,POWPUMA2K,2002
El Paso,3500,POWPUMA2K,800647
Ellis,2400,POWPUMA2K,149610
Erath,2700,POWPUMA2K,37890
Falls,1900,POWPUMA2K,17866
Fannin,900,POWPUMA2K,33915
Fayette,5100,POWPUMA2K,24554
Fisher,2800,POWPUMA2K,3974
Floyd,400,POWPUMA2K,6446
Foard,600,POWPUMA2K,1336
Fort Bend,4700,POWPUMA2K,585375
Franklin,1000,POWPUMA2K,10605
Freestone,1900,POWPUMA2K,19812
Freestone,3900,POWPUMA2K,4
Frio,5800,POWPUMA2K,17217
Gaines,3400,POWPUMA2K,17526
Galveston,4900,POWPUMA2K,291309
Garza,400,POWPUMA2K,6461
Gillespie,5800,POWPUMA2K,24837
Glasscock,3100,POWPUMA2K,1226
Goliad,5700,POWPUMA2K,7210
Gonzales,5700,POWPUMA2K,19807
Gray,100,POWPUMA2K,22535
Grayson,800,POWPUMA2K,120877
Gregg,1300,POWPUMA2K,121730
Grimes,3900,POWPUMA2K,26596
Grimes,4500,POWPUMA2K,8
Guadalupe,5500,POWPUMA2K,131533
Hale,400,POWPUMA2K,36273
Hall,100,POWPUMA2K,3353
Hamilton,3600,POWPUMA2K,8517
Hansford,100,POWPUMA2K,5613
Hardeman,600,POWPUMA2K,4139
Hardin,4200,POWPUMA2K,54635
Harris,4625,POWPUMA2K,149043
